GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
80,4.86,8.54,9.57,0.02,0.36,0.0,-0.91,-105.56,9.39,130.78,-25.25,1.88,57.04,-23.37,33.67
81,9.41,14.16,10.56,0.02,0.31,0.0,-0.82,-104.05,10.06,128.46,-28.3,1.89,68.1,-26.41,41.69
82,4.38,6.75,11.15,0.02,0.06,0.0,-0.85,-89.63,8.11,124.01,-35.08,1.9,64.01,-33.18,30.83
83,4.98,9.86,10.66,0.59,0.06,0.0,-0.82,-89.24,7.16,128.35,-38.04,1.89,71.6,-36.15,35.45
84,3.12,8.03,10.15,0.29,0.04,0.0,-0.86,-91.13,9.92,127.87,-35.2,1.89,67.43,-33.31,34.11
85,4.92,9.83,12.46,0.08,0.01,0.0,-0.85,-93.72,10.58,131.15,-36.75,1.89,74.49,-34.86,39.62
86,7.94,13.05,10.06,0.05,0.14,0.0,-0.76,-104.32,7.35,124.88,-25.77,1.92,58.38,-23.85,34.53
87,4.26,5.29,11.82,0.02,0.01,0.0,-0.8,-104.01,8.48,128.73,-26.25,1.89,53.79,-24.36,29.43
88,5.32,6.32,11.47,0.06,0.02,0.0,-0.84,-103.26,8.14,126.29,-24.44,1.9,53.52,-22.53,30.99
89,2.83,6.86,8.27,0.0,0.13,0.0,-0.86,-102.62,9.27,130.22,-27.95,1.89,54.12,-26.06,28.06
90,5.21,7.23,12.39,0.05,0.0,0.0,-0.77,-94.17,7.62,124.04,-31.49,1.89,61.61,-29.6,32.01
91,2.71,10.38,9.57,0.14,0.01,0.0,-0.84,-101.29,8.69,123.74,-27.97,1.9,53.11,-26.07,27.04
92,5.78,6.7,8.32,0.02,0.01,0.0,-0.86,-103.24,10.08,128.31,-27.69,1.9,55.12,-25.79,29.33
93,6.23,13.56,9.02,0.03,0.04,0.0,-0.81,-99.33,10.32,125.39,-31.58,1.91,64.45,-29.67,34.78
94,5.67,6.92,14.97,0.34,0.04,0.0,-0.88,-105.67,8.23,133.27,-30.07,1.89,62.88,-28.18,34.69
95,6.04,11.33,9.35,0.03,0.64,0.0,-0.9,-101.96,9.39,123.93,-26.69,1.9,57.87,-24.79,33.07
